Country,Year2016,rank2016
Afghanistan,N/A,N/A
Albania,65.9,59
Algeria,50.1,154
Angola,48.9,156
Argentina,43.8,169
Armenia,67,54
Australia,80.3,5
Austria,71.7,28
Azerbaijan,60.2,91
Bahamas,70.9,31
Bahrain,74.3,18
Bangladesh,53.3,137
Barbados,68.3,45
Belarus,48.8,157
Belgium,68.4,44
Belize,57.4,118
Benin,59.3,101
Bhutan,59.5,97
Bolivia,47.4,160
Bosnia and Herzegovina,58.6,108
Botswana,71.1,30
Brazil,56.5,122
Bulgaria,65.9,60
Burkina Faso,59.1,104
Burma,48.7,158
Burundi,53.9,133
Cambodia,57.9,112
Cameroon,54.2,130
Canada,78,6
Cabo Verde,66.5,57
Central African Republic,45.2,168
Chad,46.3,164
Chile,77.7,7
China,52,144
Colombia,70.8,33
Comoros,52.4,141
Democratic Republic of the Congo,46.4,163
"Congo, Republic of",42.8,172
Costa Rica,67.4,50
Côte d'Ivoire,60,92
Croatia,59.1,103
Cuba,29.8,177
Cyprus,68.7,42
Czech Republic,73.2,21
Denmark,75.3,12
Djibouti,56,124
Dominica,67,53
Dominican Republic,61,88
Ecuador,48.6,159
Egypt,56,125
El Salvador,65.1,63
Equatorial Guinea,43.7,170
Eritrea,42.7,173
Estonia,77.2,9
Ethiopia,51.5,148
Fiji,58.8,107
Finland,72.6,24
France,62.3,75
Gabon,59,105
Gambia,57.1,119
Georgia,72.6,23
Germany,74.4,17
Ghana,63,72
Greece,53.2,138
Guatemala,61.8,82
Guinea,53.3,136
Guinea-Bissau,51.8,145
Guyana,55.4,127
Haiti,51.3,150
Honduras,57.7,113
Hong Kong SAR,88.6,1
Hungary,66,58
Iceland,73.3,20
India,56.2,123
Indonesia,59.4,99
Iran,43.5,171
Iraq,N/A,N/A
Ireland,77.3,8
Israel,70.7,35
Italy,61.2,86
Jamaica,67.5,48
Japan,73.1,22
Jordan,68.3,46
Kazakhstan,63.6,68
Kenya,57.5,115
Kiribati,46.2,165
"Korea, North ",2.3,178
"Korea, South",71.7,27
Kuwait,62.7,74
Kyrgyz Republic,59.6,96
Lao P.D.R.,49.8,155
Latvia,70.4,36
Lebanon,59.5,98
Lesotho,50.6,152
Liberia,52.2,143
Libya,N/A,N/A
Liechtenstein,N/A,N/A
Lithuania,75.2,13
Luxembourg,73.9,19
Macau,70.1,37
Macedonia,67.5,47
Madagascar,61.1,87
Malawi,51.8,146
Malaysia,71.5,29
Maldives,53.9,132
Mali,56.5,121
Malta,66.7,55
Mauritania,54.8,128
Mauritius,74.7,15
Mexico,65.2,62
Micronesia,51.8,147
Moldova,57.4,117
Mongolia,59.4,100
Montenegro,64.9,65
Morocco,61.3,85
Mozambique,53.2,139
Namibia,61.9,81
Nepal,50.9,151
Netherlands,74.6,16
New Zealand,81.6,3
Nicaragua,58.6,109
Niger,54.3,129
Nigeria,57.5,116
Norway,70.8,32
Oman,67.1,52
Pakistan,55.9,126
Panama,64.8,66
Papua New Guinea,53.2,140
Paraguay,61.5,83
Peru,67.4,49
Philippines,63.1,70
Poland,69.3,39
Portugal,65.1,64
Qatar,70.7,34
Romania,65.6,61
Russia,50.6,153
Rwanda,63.1,71
Saint. Lucia,70,38
Saint. Vincent and the Grenadines,68.8,40
Samoa,63.5,69
São Tomé and Príncipe,56.7,120
Saudi Arabia,62.1,78
Senegal,58.1,111
Serbia,62.1,77
Seychelles,62.2,76
Sierra Leone,52.3,142
Singapore,87.8,2
Slovak Republic,66.6,56
Slovenia,60.6,90
Solomon Islands,47,161
South Africa,61.9,80
Spain,68.5,43
Sri Lanka,59.9,93
Sudan,N/A,N/A
Suriname,53.8,134
Swaziland,59.7,94
Sweden,72,26
Switzerland,81,4
Syria,N/A,N/A
Taiwan ,74.7,14
Tajikistan,51.3,149
Tanzania,58.5,110
Thailand,63.9,67
Timor-Leste,45.8,167
Togo,53.6,135
Tonga,59.6,95
Trinidad and Tobago,62.9,73
Tunisia,57.6,114
Turkey,62.1,79
Turkmenistan,41.9,174
Uganda,59.3,102
Ukraine,46.8,162
United Arab Emirates,72.6,25
United Kingdom,76.4,10
United States,75.4,11
Uruguay,68.8,41
Uzbekistan,46,166
Vanuatu,60.8,89
Venezuela,33.7,176
Vietnam,54,131
Yemen,N/A,N/A
Zambia,58.8,106
Zimbabwe,38.2,175
Somalia,N/A,N/A
Kosovo,61.4,84
Brunei Darussalam,67.3,51
