Country,Year2015
Zimbabwe,7.599999905
Zambia,13.5
Algeria,7.099999905
Angola,2.900000095
Benin,11.69999981
Botswana,5.099999905
Burkina Faso,12.10000038
Cameroon,18.89999962
Cape Verde,2.200000048
Central African Republic,11.10000038
Chad,12.69999981
Cote d'Ivoire,7.5
Djibouti,12.69999981
Afghanistan,5
Albania,10.19999981
American Samoa,..
Andorra,..
Antigua and Barbuda,10.80000019
Argentina,6.599999905
Armenia,0.200000003
Aruba,..
Australia,5.199999809
Austria,4.599999905
Azerbaijan,0.200000003
"Bahamas, The",12.19999981
Bahrain,1.700000048
Bangladesh,7
Barbados,5.599999905
Belarus,0
Belgium,12.69999981
Belize,4.800000191
Bermuda,..
Bhutan,5
Bolivia,4.699999809
Bosnia and Herzegovina,5.199999809
Brazil,3.099999905
Brunei Darussalam,0.600000024
Bulgaria,2.900000095
Burundi,3.200000048
Cambodia,4.400000095
Canada,3.299999952
Cayman Islands,..
Channel Islands,..
Chile,1.200000048
China,3.400000095
Colombia,2
Comoros,10.5
"Congo, Dem. Rep.",9.5
"Congo, Rep.",12
Costa Rica,3.400000095
Croatia,5
Cuba,..
Cyprus,10.39999962
Czech Republic,4
Denmark,0.600000024
Dominica,13.30000019
Dominican Republic,3.700000048
East Asia & Pacific,4.400000095
Ecuador,1.899999976
"Egypt, Arab Rep.",0.600000024
El Salvador,3.799999952
Equatorial Guinea,12.5
Eritrea,9.100000381
Estonia,0.5
Ethiopia,6.099999905
Europe & Central Asia,2.599999905
European Monetary Union,..
Faeroe Islands,..
Fiji,3
Finland,4
France,6.099999905
French Polynesia,..
Gabon,10.5
"Gambia, The",7.599999905
Georgia,0.100000001
Germany,6.699999809
"Germany, Fed. Rep. (former)",..
Ghana,1.100000024
Greece,4.900000095
Greenland,..
Grenada,7.400000095
Guam,..
Guatemala,3.700000048
Guinea,8.5
Guinea-Bissau,5.599999905
Guyana,4.599999905
Haiti,7.099999905
Heavily indebted poor countries (HIPC),..
High income,..
High income: nonOECD,..
High income: OECD,4.199999809
Honduras,5.699999809
"Hong Kong, China",7.699999809
Hungary,5
IBRD only,..
Iceland,3.599999905
IDA blend,..
IDA only,..
IDA total,..
India,7.5
Indonesia,10.80000019
"Iran, Islamic Rep.",6.099999905
Iraq,8.199999809
Ireland,2.5
Isle of Man,..
Israel,8.300000191
Italy,4.400000095
Jamaica,9.800000191
Japan,5.800000191
Jordan,9
Kazakhstan,0.100000001
Kenya,4.199999809
Kiribati,0
"Korea, Dem. Rep.",..
"Korea, Rep.",5.099999905
Kosovo,0.300000012
Kuwait,0.5
Kyrgyz Republic,0.200000003
Lao PDR,1.100000024
Latin America & Caribbean,6.099999905
Latvia,2
Least developed countries: UN classification,..
Lebanon,5.900000095
Lesotho,8.399999619
Liberia,13
Libya,..
Liechtenstein,..
Lithuania,0.800000012
Low & middle income,..
Low income,..
Lower middle income,..
Luxembourg,10.10000038
"Macao, China",..
"Macedonia, FYR",3.299999952
Madagascar,9.199999809
Malawi,1.799999952
Malaysia,3.299999952
Maldives,15.89999962
Mali,11.89999962
Malta,5.5
Marshall Islands,..
Mauritania,4.599999905
Mauritius,10.60000038
Mayotte,..
Mexico,5.099999905
"Micronesia, Fed. Sts.",..
Middle East & North Africa,5.599999905
Middle income,..
Moldova,0.899999976
Monaco,..
Mongolia,2.099999905
Montenegro,3.099999905
Morocco,5.900000095
Mozambique,5.300000191
Myanmar,5.099999905
Namibia,13.69999981
Nepal,4.800000191
Netherlands,6.099999905
Netherlands Antilles,..
New Caledonia,..
New Zealand,0.100000001
Nicaragua,5
Niger,9
Nigeria,10.5
Northern Mariana Islands,..
Norway,2.5
Oman,3
Pakistan,7.5
Palau,0.300000012
Panama,2.400000095
Papua New Guinea,5.099999905
Paraguay,1.899999976
Peru,3.299999952
Philippines,4.300000191
Poland,0.300000012
Portugal,7.300000191
Puerto Rico,0.899999976
Qatar,0.300000012
Romania,1.399999976
Russian Federation,0.200000003
Rwanda,0.100000001
Samoa,3.799999952
San Marino,4.099999905
Sao Tome and Principe,9
Saudi Arabia,0
Senegal,10.19999981
Serbia,2.799999952
Serbia and Montenegro,..
Seychelles,7
Sierra Leone,10.80000019
Singapore,2.900000095
Slovak Republic,0
Slovenia,2
Solomon Islands,4.699999809
Somalia,..
South Africa,6.400000095
South Asia,7.199999809
South Sudan,16
Spain,6.099999905
Sri Lanka,5.099999905
St. Kitts and Nevis,13.19999981
St. Lucia,7.599999905
St. Vincent and the Grenadines,11.80000019
Sudan,2.599999905
Suriname,13.69999981
Swaziland,7.099999905
Sweden,4.300000191
Switzerland,0.300000012
Syrian Arab Republic,28
"Taiwan, China",6.199999809
Tajikistan,3.400000095
Tanzania,4.400000095
Thailand,6.300000191
Timor-Leste,..
Togo,9.199999809
Tonga,15.10000038
Trinidad and Tobago,7
Tunisia,6.099999905
Turkey,4
Turkmenistan,..
Uganda,2.599999905
Ukraine,2
United Arab Emirates,0.200000003
United Kingdom,4.599999905
United States,2.400000095
Upper middle income,..
Uruguay,7
Uzbekistan,1.399999976
Vanuatu,7
"Venezuela, RB",2.5
Vietnam,0.600000024
Virgin Islands (U.S.),..
West Bank and Gaza,3
"Yemen, Rep.",1.799999952
